field,level,skill,phase
Science,3,Dynamical Systems,bsc
Science,2,Probability,bsc
Science,2,Stochastic Processes,bsc
Science,2,Game Theory,bsc
Science,2,Complex Systems,bsc
Science,1,Microscopy,bsc
Science,1,Biotechnology,bsc
Discourse,1,Technical Writing,bsc
Discourse,1,Philosophy,bsc
Discourse,1,Imagination,ch
Discourse,1,Imagination,ib
Discourse,2,Imagination,bsc
Discourse,3,Imagination,msc
Discourse,3,Imagination,des
Discourse,3,Imagination,eco
Discourse,3,Imagination,flux
Discourse,2,Hebrew Language,ch
Design,3,Infographic Design,des
Design,2,Print Layout,des
Design,3,Logos & Illustration,des
Design,3,Adobe Illustrator,des
Design,2,Adobe Photoshop,des
Design,1,Adobe InDesign,des
Design,2,Branding,des
Technology,1,CSS & HTML,des
Technology,2,Wordpress Admin.,des
Technology,2,Ubuntu System Admin.,des
Technology,2,Bash Scripting,des
Technology,2,Git Toolchain,des
Technology,3,Open-Source Ecosystem,des
Design,3,Branding,des
Organization,2,Startup Ecosystem,flux
Discourse,3,Technical Writing,flux
Organization,1,Project Management,flux
Technology,2,Nix Packaging,flux
Technology,2,NixOS System Admin.,flux
Organization,2,Organization Ops.,flux
Organization,3,Operations Research,flux
Organization,3,Venture Architecture,flux
Discourse,3,Philosophy,flux
Discourse,3,English Language,ib
Discourse,2,Dutch Language,ib
Technology,2,EU Driving License B,ib
Science,3,Probability,msc
Science,3,Stochastic Processes,msc
Science,3,Complex Systems,msc
Science,3,Mathematical Ecology,msc
Science,2,Population Genetics,msc
Science,2,Cell Modeling,msc
Science,1,Behavioral Field Work,msc
Discourse,1,German Language,msc
Technology,1,C++,msc
Discourse,2,Technical Writing,msc
Discourse,2,Philosophy,msc
Technology,3,R Programming,res
Science,2,Evolutionary Theory,res
Science,3,Metacommunity Ecology,res
Science,1,Signal Processing,res
Technology,1,Multicopter Piloting,res
Discourse,2,Maths Teaching,tut
Discourse,2,Physics Teaching,tut
Discourse,1,Chemistry Teaching,tut
Discourse,2,Adolescent Pedagogy,tut